,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
14,La Casona Hotel Boutique,"Información  
Wi-Fi gratis

Desayuno incluido

Estacionamiento

Accesible

Piscina

Aire acondicionado

Centro de negocios

Se permiten mascotas

Restaurante

Cocina en algunas habitaciones

Transporte desde/hacia el aeropuerto

Gimnasio

Libre de humo
 ",5.0,2.0,,,,,https://lacasonahotelboutique.com.co/,Comuna Popular Hoteles,305 3477839 ,"Cra. 72 #CIR 4 37, Castilla, Medellín, Doce de Octubre, Medellín, Antioquia",6.290845,-75.5752596
15,CAMPO VALDES PARK HOSTEL,"Información  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina

Cocina en algunas habitaciones

Transporte desde/hacia el aeropuerto

Gimnasio
 ",4.4,105.0,,,,,,Comuna Popular Hoteles,300 7768944 ,"Cra. 49 #77-87, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2716625,-75.5584047
16,Gran Caribe Hotel,"Información  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina

Gimnasio
 ",3.8,430.0,,,,,https://www.booking.com/hotel/co/caribe-medellan.es.html,Comuna Popular Hoteles,(604) 4299811 ,"Cl. 74 #64B-32, Medellín, Castilla, Medellín, Antioquia",6.2726046,-75.57278
17,"Hotel Perlatto, Bello","Información  Este hotel tranquilo, ubicado en el centro de la ciudad, se encuentra a 12 minutos a pie de la estación de trenes Bello, a 9 km del jardín botánico Joaquín Antonio Uribe y a 6 minutos a pie del Museo Choza Marco Fidel Suárez.
Las habitaciones sencillas con mobiliario colorido cuentan con Wi-Fi. Algunas incluyen balcón o bañera con hidromasaje.
El estacionamiento es gratuito. Hay un restobar con terraza en la azotea que dispone de jardín con toldo y vista panorámica a la ciudad.
  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina

Aire acondicionado

Servicio de lavandería

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Gimnasio

Bar

Libre de humo
 ",4.2,971.0,Hotel de 3 estrellas,,,,https://sys.segurihotel.com/booking/6-hotel-perlatto,Comuna Popular Hoteles,314 2535815 ,"Cl. 52 #47-70, Las Granias, Bello, Antioquia",6.3363139,-75.5569041
18,Hotel Prada,"Información  Este hotel sencillo con vista a las montañas circundantes se encuentra en la autopista Norte, a 7 km del jardín botánico Joaquín Antonio Uribe y a 10 km del centro de Medellín.
Las habitaciones sencillas tienen TV de pantalla plana y ventilador.
Hay un comedor informal y luminoso con obras de arte llamativas y un salón en el vestíbulo con TV de pantalla plana.
  
Wi-Fi gratis

Desayuno incluido

Piscina

Servicio de lavandería

Gimnasio

Libre de humo
 ",4.2,1157.0,Hotel de 3 estrellas,,,,http://hotelprada.com.co/,Comuna Popular Hoteles,(604) 5972080 ,"Cra. 50 ##50-2 a, Obrero, Bello, Antioquia",6.324278,-75.5577475
19,HOTEL SENSACIONES SUITE.,"Reseñas
5
4
3
2
1
3,5
151 reseñas
  
Escribir una reseña
  

Ordenar
Todas
precio
8
económico
5
toallas
2
robo
2
atención al cliente
2
TV
2",3.5,151.0,,,,,,Comuna Popular Hoteles,314 4703688 ,"Cl. 57 #488, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2544013,-75.5634401
20,Parque la Cancha El Popular,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.4,60.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Popular Parques,,"Cl. 120 #42c61, Medellín, Antioquia",6.3028078,-75.5452919
21,UVA Popular 1,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Cancha de básquetbol

Sanitario público
    Menores

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.4,96.0,,Parque,Accesible con silla de ruedas,"6 .,None",http://www.epm.com.co/,Comuna Popular Parques,301 3011058 ,"#109- a 109-, Cra. 42b #9634, Moscu II, Medellín, Antioquia",6.2982809,-75.5464762
22,UVA de la Cordialidad,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Columpios

Sanitario público
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Se permiten perros",4.4,188.0,,Parque,Accesible con silla de ruedas,"12 pm.,6 pm.",http://www.grupo-epm.com/site/fundacionepm/quehacemos/programas/uva/uvadelacordialidad,Comuna Popular Parques,300 7426086 ,"Cra. 42b #110A – 04, Santo Domingo Savio I, Medellín, Popular, Medellín, Antioquia",6.2983258,-75.5464708
23,Santo domingo Savio,"Reseñas
5
4
3
2
1
5,0
2 reseñas
  
Escribir una reseña
  

Ordenar",5.0,2.0,,Parque infantil,,"6 .,9 .",,Comuna Popular Parques,,"Santo Domingo Savio I, Medellín, Popular, Medellín, Antioquia",6.2975323,-75.5458657
24,UVA Nuevo Amanecer,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Área para patinetas

Columpios

Sanitario público
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.4,732.0,,Parque,Accesible con silla de ruedas,,,Comuna Popular Parques,42929777 ,"Cl. 107b #23a - 138, La Avanzada, Medellín, Popular, Medellín, Antioquia",6.2950561,-75.5378294
25,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801
26,Parque Cancha divina Providencia,"Reseñas
5
4
3
2
1
4,5
2 reseñas
  
Escribir una reseña
  

Ordenar",4.5,2.0,,Escuela,,,,Comuna Popular Parques,,"Cl. 123 #43AA-71, Popular, Medellín, Popular, Medellín, Antioquia",6.3033597,-75.5473606
27,Parque de Bolívar,"Información  Parque adyacente a la Catedral Metropolitana con una fuente y estatua del libertador Simón Bolívar.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Servicios

Sanitario público
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.1,12593.0,,Parque local,Accesible con silla de ruedas,"6 .,None",,Comuna Popular Parques,,"Cra. 49 #5596, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2529003,-75.5645992
28,Junta de acción comunal popular 2 parte central,"Reseñas
5
4
3
2
1
4,5
83 reseñas
  
Escribir una reseña
  

Ordenar
Todas
parque
3
horas pico
2
fumar
2
familia
2",4.5,83.0,,Centro comunitario,,"6 .,None",,Comuna Popular Parques,,"Cl. 118 # 43b-51, Medellín, Popular, Medellín, Antioquia",6.3023425,-75.5486594
29,Parque Arví,"Información  Parque de ecoturismo con diversos senderos, un mercado de comidas, una góndola y deportes de aventura.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Actividades

Senderismo
    Servicios

Área para patinetas

Columpios

Mesas de pícnic

Parrilla para barbacoa

Sanitario público
    Menores

Área de juegos

Es recomendable para cumpleaños infantiles

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.7,22667.0,,Parque,Accesible con silla de ruedas,"9 .,6 pm.",https://www.parquearvi.org/,Comuna Popular Parques,(604) 4442979 ,"Via a Piedras Blancas, Medellín, Antioquia",6.2803712,-75.5026504
30,Q'Burguesia,"Información  Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,2.0,,Restaurante de comida rápida,,"6 .,12 pm.",https://instagram.com/qburguesia?igshid=YTQwZjQ0NmI0OA==,Comuna Popular Comida rápida,323 5942898 ,"Cra. 42b #120-56 1, Popular, Medellín, Popular, Medellín, Antioquia",6.3022908,-75.5436727
31,MIX BURGER Y ALGO MAS,"Información  Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,2.0,,Restaurante de comida rápida,,,,Comuna Popular Comida rápida,,"Cl. 109 #45-05, Andalucia, Medellín, Popular, Medellín, Antioquia",6.2988338,-75.5495655
32,Comidas rápidas el chancho 🐽🐷,"Reseñas
5
4
3
2
1
5,0
2 reseñas
  
Escribir una reseña
  

Ordenar
Todas
precio
2",5.0,2.0,,Comida a domicilio,,,,Comuna Popular Comida rápida,316 5708921 ,"Cl. 118 #42B-70, Popular, Medellín, Popular, Medellín, Antioquia",6.3013947,-75.5457741
33,Al toque Artesanal,"Información  Opciones de servicio

Asientos al aire libre

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Opciones del local

Cena

Espacio con asientos
    Ambiente

Informal
    Público usual

Grupos
    Pagos

Pagos con dispositivos móviles mediante NFC
    Menores

Ideal para ir con niños",5.0,3.0,,Restaurante de comida rápida,,"6 pm.,6 .",,Comuna Popular Comida rápida,301 6016291 ,"Cra 49B #125-14, Playón de los Comuneros, Medellín, Santa Cruz, Antioquia",6.3064734,-75.5505814
34,AQUÍ DONDE EL DOGOR,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Información proporcionada por la empresa

Se identifica como mujer empresaria
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Comidas durante la madrugada
    Opciones del local

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños

Menú para niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.3,34.0,$ 10.000-20.000,Restaurante de comida para llevar,Accesible con silla de ruedas,"3 pm.,6 .",,Comuna Popular Comida rápida,319 2502640 ,"Carrera 38 # 101 c 60, Medellín, Antioquia",6.2908784,-75.5466861
35,Cocina rapida,"Reseñas
5
4
3
2
1
5,0
3 reseñas
  
Escribir una reseña
  

Ordenar",5.0,3.0,,Escuela de cocina,,,,Comuna Popular Comida rápida,317 2412315 ,"Cl. 118 #42c-4, Popular, Medellín, Popular, Medellín, Antioquia",6.3014526,-75.5461709
36,Comidas Rapidas CRASH,"Información  Opciones de servicio

Retiros en la puerta

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Hamburguesería,,"6 pm.,6 .",,Comuna Popular Comida rápida,324 2763117 ,"Cl. 101 #43D7, Villa Del Socorro, Medellín, Popular, Medellín, Antioquia",6.2910322,-75.5512689
37,Comidas rapidas donde jose,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,3.0,,Restaurante de comida rápida,,,,Comuna Popular Comida rápida,,"Cra. 64c #114-12, Las Brisas, Medellín, Castilla, Medellín, Antioquia",6.3092916,-75.561264
38,Comidas Rapidas,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Espacio con asientos
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.0,21.0,,Restaurante de comida para llevar,,,,Comuna Popular Comida rápida,,"Cl. 116 #67B-82, Florencia, Medellín, Castilla, Medellín, Antioquia",6.3100046,-75.5654931
39,"""El Gordo"" Comidas Rapidas","Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Comidas durante la madrugada
    Opciones del local

Desayuno-almuerzo

Cena

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas
    Estacionamiento

Estacionamiento gratuito en la calle",3.9,368.0,$ 10.000-20.000,Restaurante,,"12 pm.,6 .",,Comuna Popular Comida rápida,311 3691713 ,"# 20e-, Cra. 43c #20e23, Bello, Antioquia",6.3089515,-75.5536767
40,Museo Urbano De Memorias,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Restaurante

Sanitario

Sanitarios unisex
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Menores

Ideal para ir con niños",5.0,8.0,,Museo,Accesible con silla de ruedas,,https://fundaciontrashart.wixsite.com/misitio/nuestros-eventos,Comuna Popular Museos,350 5953116 ,"Cl. 106 #32a-2 a 32a-82, Medellín, Antioquia",6.2934943,-75.5425003
41,Fundación Casa Museo Maestro Pedro Nel Gómez,"Información  Casa convertida en museo de un artista icónico, llena de murales y otras obras, que ofrece visitas guiadas.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.7,1024.0,,Museo de arte,Accesible con silla de ruedas,,http://museopedronelgomez.org/,Comuna Popular Museos,44442633 ,"Cra 51 B #8524, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2784939,-75.562388
42,Biblioteca comunitaria José Echavarria y Alejandro Rivera,"Información  Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.4,12.0,,Museo,,,,Comuna Popular Museos,,"#64a- a 64a-, Cl. 103d #6764, Doce de Octubre 2, Medellín, Antioquia",6.2972023,-75.5657018
43,Museo de Antioquia,"Información  Muestra de arte histórico con artistas nacionales como Fernando Botero y Pedro Nel Gómez y más.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento pagado

Garage de estacionamiento pagado",4.7,8361.0,,Museo de arte,Accesible con silla de ruedas,"12 pm.,6 pm.",https://museodeantioquia.co/,Comuna Popular Museos,(604) 2513636 ,"Cl. 52 #52-43, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2524227,-75.5691311
44,Museo Etnográfico Miguel Ángel Builes,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.3,231.0,,Museo,Accesible con silla de ruedas,,,Comuna Popular Museos,,"Cra. 81 #52B-144, Ferrini, Medellín, La América, Medellín, Antioquia",6.267377,-75.5969612
45,MUUA - Museo Universitario de la Universidad de Antioquia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario

Wi-Fi

Tiene Wi-Fi gratis

Restaurante
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Menores

Ideal para ir con niños",4.9,1853.0,,Museo,Accesible con silla de ruedas,"9 .,6 pm.",https://www.udea.edu.co/wps/portal/udea/web/inicio/cultura/museo-universitario,Comuna Popular Museos,(604) 2195180 ,"Museo Universitario, Universidad de Antioquia #Calle 67 No.53-108, Bloque 15, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2673531,-75.569931
46,Casa de La Cultura Popular 1,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas",4.6,159.0,,Centro cultural,Accesible con silla de ruedas,,http://facebook.com/casadeculturapopular,Comuna Popular Museos,,"La Isla, Medellín, Popular, Medellín, Antioquia",6.2972649,-75.548465
47,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques temático,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801
48,Parque Norte J. Emilio Valderrama,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños",4.5,582.0,,Parque de atracciones,Accesible con silla de ruedas,,,Comuna Popular Parques temático,72100300 ,"Cra. 53 #115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2726439,-75.5681548
49,Parque Explora,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Ideal para ir con niños",4.8,7024.0,,Museo de ciencias,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.parqueexplora.org/,Comuna Popular Parques temático,(604) 5168300 ,"Cra. 53 #7375, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2716287,-75.565433
50,Parque Natural Cerro El Volador,"Información  Extenso parque urbano con una colina verde para disfrutar y relajarse con vista a la ciudad.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Sanitario público
    Menores

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.7,6363.0,,Parque,Accesible con silla de ruedas,"6 .,6 pm.",http://parquenaturalcerroelvolador.blogspot.com.co/,Comuna Popular Parques temático,42602416 ,"Medellín, Robledo, Medellín, Antioquia",6.264745,-75.582522
51,Summit Adventure Park Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Ideal para ir con niños",4.5,3007.0,,Parque de atracciones,Accesible con silla de ruedas,"12 pm.,9 pm.",https://summitmedellin.com/,Comuna Popular Parques temático,317 3931101 ,"Cl 10 #50-267, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2142576,-75.5814364
52,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques de atracciones,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801
