,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon,bayesian_mean,Comuna
16,Gran Caribe Hotel,"Información  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina

Gimnasio
 ",3.8,430.0,,,,,https://www.booking.com/hotel/co/caribe-medellan.es.html,Comuna Popular Hoteles,(604) 4299811 ,"Cl. 74 #64B-32, Medellín, Castilla, Medellín, Antioquia",6.2726046,-75.57278,3.8045454545454547,Popular
17,"Hotel Perlatto, Bello","Información  Este hotel tranquilo, ubicado en el centro de la ciudad, se encuentra a 12 minutos a pie de la estación de trenes Bello, a 9 km del jardín botánico Joaquín Antonio Uribe y a 6 minutos a pie del Museo Choza Marco Fidel Suárez.
Las habitaciones sencillas con mobiliario colorido cuentan con Wi-Fi. Algunas incluyen balcón o bañera con hidromasaje.
El estacionamiento es gratuito. Hay un restobar con terraza en la azotea que dispone de jardín con toldo y vista panorámica a la ciudad.
  
Wi-Fi gratis

Desayuno incluido

Estacionamiento gratuito

Piscina

Aire acondicionado

Servicio de lavandería

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Gimnasio

Bar

Libre de humo
 ",4.2,971.0,Hotel de 3 estrellas,,,,https://sys.segurihotel.com/booking/6-hotel-perlatto,Comuna Popular Hoteles,314 2535815 ,"Cl. 52 #47-70, Las Granias, Bello, Antioquia",6.3363139,-75.5569041,4.19796126401631,Popular
18,Hotel Prada,"Información  Este hotel sencillo con vista a las montañas circundantes se encuentra en la autopista Norte, a 7 km del jardín botánico Joaquín Antonio Uribe y a 10 km del centro de Medellín.
Las habitaciones sencillas tienen TV de pantalla plana y ventilador.
Hay un comedor informal y luminoso con obras de arte llamativas y un salón en el vestíbulo con TV de pantalla plana.
  
Wi-Fi gratis

Desayuno incluido

Piscina

Servicio de lavandería

Gimnasio

Libre de humo
 ",4.2,1157.0,Hotel de 3 estrellas,,,,http://hotelprada.com.co/,Comuna Popular Hoteles,(604) 5972080 ,"Cra. 50 ##50-2 a, Obrero, Bello, Antioquia",6.324278,-75.5577475,4.1982862039417315,Popular
19,HOTEL SENSACIONES SUITE.,"Reseñas
5
4
3
2
1
3,5
151 reseñas
  
Escribir una reseña
  

Ordenar
Todas
precio
8
económico
5
toallas
2
robo
2
atención al cliente
2
TV
2",3.5,151.0,,,,,,Comuna Popular Hoteles,314 4703688 ,"Cl. 57 #488, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2544013,-75.5634401,3.531055900621118,Popular
20,Parque la Cancha El Popular,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.4,60.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Popular Parques,,"Cl. 120 #42c61, Medellín, Antioquia",6.3028078,-75.5452919,4.3428571428571425,Popular
21,UVA Popular 1,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Cancha de básquetbol

Sanitario público
    Menores

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.4,96.0,,Parque,Accesible con silla de ruedas,"6 .,None",http://www.epm.com.co/,Comuna Popular Parques,301 3011058 ,"#109- a 109-, Cra. 42b #9634, Moscu II, Medellín, Antioquia",6.2982809,-75.5464762,4.362264150943396,Popular
22,UVA de la Cordialidad,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Columpios

Sanitario público
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Se permiten perros",4.4,188.0,,Parque,Accesible con silla de ruedas,"12 pm.,6 pm.",http://www.grupo-epm.com/site/fundacionepm/quehacemos/programas/uva/uvadelacordialidad,Comuna Popular Parques,300 7426086 ,"Cra. 42b #110A – 04, Santo Domingo Savio I, Medellín, Popular, Medellín, Antioquia",6.2983258,-75.5464708,4.3797979797979805,Popular
24,UVA Nuevo Amanecer,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Área para patinetas

Columpios

Sanitario público
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.4,732.0,,Parque,Accesible con silla de ruedas,,,Comuna Popular Parques,42929777 ,"Cl. 107b #23a - 138, La Avanzada, Medellín, Popular, Medellín, Antioquia",6.2950561,-75.5378294,4.394609164420485,Popular
25,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801,4.499808149796639,Popular
27,Parque de Bolívar,"Información  Parque adyacente a la Catedral Metropolitana con una fuente y estatua del libertador Simón Bolívar.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Servicios

Sanitario público
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.1,12593.0,,Parque local,Accesible con silla de ruedas,"6 .,None",,Comuna Popular Parques,,"Cra. 49 #5596, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2529003,-75.5645992,4.099920653812584,Popular
28,Junta de acción comunal popular 2 parte central,"Reseñas
5
4
3
2
1
4,5
83 reseñas
  
Escribir una reseña
  

Ordenar
Todas
parque
3
horas pico
2
fumar
2
familia
2",4.5,83.0,,Centro comunitario,,"6 .,None",,Comuna Popular Parques,,"Cl. 118 # 43b-51, Medellín, Popular, Medellín, Antioquia",6.3023425,-75.5486594,4.446236559139785,Popular
29,Parque Arví,"Información  Parque de ecoturismo con diversos senderos, un mercado de comidas, una góndola y deportes de aventura.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Actividades

Senderismo
    Servicios

Área para patinetas

Columpios

Mesas de pícnic

Parrilla para barbacoa

Sanitario público
    Menores

Área de juegos

Es recomendable para cumpleaños infantiles

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.7,22667.0,,Parque,Accesible con silla de ruedas,"9 .,6 pm.",https://www.parquearvi.org/,Comuna Popular Parques,(604) 4442979 ,"Via a Piedras Blancas, Medellín, Antioquia",6.2803712,-75.5026504,4.699691317193633,Popular
34,AQUÍ DONDE EL DOGOR,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Información proporcionada por la empresa

Se identifica como mujer empresaria
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Comidas durante la madrugada
    Opciones del local

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños

Menú para niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.3,34.0,$ 10.000-20.000,Restaurante de comida para llevar,Accesible con silla de ruedas,"3 pm.,6 .",,Comuna Popular Comida rápida,319 2502640 ,"Carrera 38 # 101 c 60, Medellín, Antioquia",6.2908784,-75.5466861,4.2318181818181815,Popular
38,Comidas Rapidas,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Espacio con asientos
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.0,21.0,,Restaurante de comida para llevar,,,,Comuna Popular Comida rápida,,"Cl. 116 #67B-82, Florencia, Medellín, Castilla, Medellín, Antioquia",6.3100046,-75.5654931,4.0,Popular
39,"""El Gordo"" Comidas Rapidas","Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Comidas durante la madrugada
    Opciones del local

Desayuno-almuerzo

Cena

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas
    Estacionamiento

Estacionamiento gratuito en la calle",3.9,368.0,$ 10.000-20.000,Restaurante,,"12 pm.,6 .",,Comuna Popular Comida rápida,311 3691713 ,"# 20e-, Cra. 43c #20e23, Bello, Antioquia",6.3089515,-75.5536767,3.9026455026455027,Popular
41,Fundación Casa Museo Maestro Pedro Nel Gómez,"Información  Casa convertida en museo de un artista icónico, llena de murales y otras obras, que ofrece visitas guiadas.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.7,1024.0,,Museo de arte,Accesible con silla de ruedas,,http://museopedronelgomez.org/,Comuna Popular Museos,44442633 ,"Cra 51 B #8524, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2784939,-75.562388,4.693230174081238,Popular
42,Biblioteca comunitaria José Echavarria y Alejandro Rivera,"Información  Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.4,12.0,,Museo,,,,Comuna Popular Museos,,"#64a- a 64a-, Cl. 103d #6764, Doce de Octubre 2, Medellín, Antioquia",6.2972023,-75.5657018,4.218181818181819,Popular
43,Museo de Antioquia,"Información  Muestra de arte histórico con artistas nacionales como Fernando Botero y Pedro Nel Gómez y más.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento pagado

Garage de estacionamiento pagado",4.7,8361.0,,Museo de arte,Accesible con silla de ruedas,"12 pm.,6 pm.",https://museodeantioquia.co/,Comuna Popular Museos,(604) 2513636 ,"Cl. 52 #52-43, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2524227,-75.5691311,4.699163779715685,Popular
44,Museo Etnográfico Miguel Ángel Builes,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.3,231.0,,Museo,Accesible con silla de ruedas,,,Comuna Popular Museos,,"Cra. 81 #52B-144, Ferrini, Medellín, La América, Medellín, Antioquia",6.267377,-75.5969612,4.287551867219917,Popular
45,MUUA - Museo Universitario de la Universidad de Antioquia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario

Wi-Fi

Tiene Wi-Fi gratis

Restaurante
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Menores

Ideal para ir con niños",4.9,1853.0,,Museo,Accesible con silla de ruedas,"9 .,6 pm.",https://www.udea.edu.co/wps/portal/udea/web/inicio/cultura/museo-universitario,Comuna Popular Museos,(604) 2195180 ,"Museo Universitario, Universidad de Antioquia #Calle 67 No.53-108, Bloque 15, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2673531,-75.569931,4.895169082125604,Popular
46,Casa de La Cultura Popular 1,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas",4.6,159.0,,Centro cultural,Accesible con silla de ruedas,,http://facebook.com/casadeculturapopular,Comuna Popular Museos,,"La Isla, Medellín, Popular, Medellín, Antioquia",6.2972649,-75.548465,4.564497041420118,Popular
47,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques temático,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801,4.499808149796639,Popular
48,Parque Norte J. Emilio Valderrama,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños",4.5,582.0,,Parque de atracciones,Accesible con silla de ruedas,,,Comuna Popular Parques temático,72100300 ,"Cra. 53 #115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2726439,-75.5681548,4.491554054054054,Popular
49,Parque Explora,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Ideal para ir con niños",4.8,7024.0,,Museo de ciencias,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.parqueexplora.org/,Comuna Popular Parques temático,(604) 5168300 ,"Cra. 53 #7375, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2716287,-75.565433,4.7988626670457775,Popular
50,Parque Natural Cerro El Volador,"Información  Extenso parque urbano con una colina verde para disfrutar y relajarse con vista a la ciudad.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Sanitario público
    Menores

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.7,6363.0,,Parque,Accesible con silla de ruedas,"6 .,6 pm.",http://parquenaturalcerroelvolador.blogspot.com.co/,Comuna Popular Parques temático,42602416 ,"Medellín, Robledo, Medellín, Antioquia",6.264745,-75.582522,4.698901616193316,Popular
51,Summit Adventure Park Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Ideal para ir con niños",4.5,3007.0,,Parque de atracciones,Accesible con silla de ruedas,"12 pm.,9 pm.",https://summitmedellin.com/,Comuna Popular Parques temático,317 3931101 ,"Cl 10 #50-267, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2142576,-75.5814364,4.498342724560822,Popular
52,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques de atracciones,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801,4.499808149796639,Popular
53,UVA Popular 1,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Cancha de básquetbol

Sanitario público
    Menores

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.4,96.0,,Parque,Accesible con silla de ruedas,"6 .,None",http://www.epm.com.co/,Comuna Popular Parques de atracciones,301 3011058 ,"#109- a 109-, Cra. 42b #9634, Moscu II, Medellín, Antioquia",6.2982809,-75.5464762,4.362264150943396,Popular
54,Parque Norte J. Emilio Valderrama,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños",4.5,582.0,,Parque de atracciones,Accesible con silla de ruedas,,,Comuna Popular Parques de atracciones,72100300 ,"Cra. 53 #115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2726439,-75.5681548,4.491554054054054,Popular
55,Parque Explora,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Ideal para ir con niños",4.8,7024.0,,Museo de ciencias,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.parqueexplora.org/,Comuna Popular Parques de atracciones,(604) 5168300 ,"Cra. 53 #7375, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2716287,-75.565433,4.7988626670457775,Popular
56,Parque Arví,"Información  Parque de ecoturismo con diversos senderos, un mercado de comidas, una góndola y deportes de aventura.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Actividades

Senderismo
    Servicios

Área para patinetas

Columpios

Mesas de pícnic

Parrilla para barbacoa

Sanitario público
    Menores

Área de juegos

Es recomendable para cumpleaños infantiles

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.7,22667.0,,Parque,Accesible con silla de ruedas,"9 .,6 pm.",https://www.parquearvi.org/,Comuna Popular Parques de atracciones,(604) 4442979 ,"Via a Piedras Blancas, Medellín, Antioquia",6.2803712,-75.5026504,4.699691317193633,Popular
57,Parque de Toboganes,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Columpios

Parrilla para barbacoa

Sanitario público

Toboganes
    Menores

Área de juegos

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.5,187.0,,Parque,Accesible con silla de ruedas,,,Comuna Popular Parques acuaticos,,"Medellín, Belén, Medellín, Antioquia",6.2379811,-75.580506,4.474619289340102,Popular
59,Parque Norte Medellín,"Información  Parque temático apto para familias con montaña rusa y otras atracciones, área de juegos, lago y restaurantes.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Sanitario
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Planificación

Se recomienda comprar las entradas con anticipación
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Es recomendable para cumpleaños infantiles",4.5,26052.0,,Recinto ferial,Accesible con silla de ruedas,,https://parquenorte.gov.co/,Comuna Popular Parques acuaticos,(604) 3401210 ,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.272007,-75.5660801,4.499808149796639,Popular
60,Parque Explora,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Restaurante

Sanitario
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Ideal para ir con niños",4.8,7024.0,,Museo de ciencias,Accesible con silla de ruedas,"12 pm.,9 pm.",http://www.parqueexplora.org/,Comuna Popular Parques acuaticos,(604) 5168300 ,"Cra. 53 #7375, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",6.2716287,-75.565433,4.7988626670457775,Popular
61,Aeroparque Juan Pablo II,"Información  Parque acuático con toboganes y piscinas, además de áreas para correr carreras, caminar y andar en bicicleta.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Servicios

Espacio para guardar equipaje

Restaurante

Sanitario

Wi-Fi

Tiene Wi-Fi gratis
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Planificación

Se recomienda comprar las entradas con anticipación
    Menores

Área de juegos

Ideal para ir con niños",4.4,14931.0,,Parque acuático,Accesible con silla de ruedas,,http://www.aeroparquejuanpablo.gov.co/,Comuna Popular Parques acuaticos,(604) 3401210 ,"Cra. 70 #16, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2200154,-75.5917358,4.399732280302524,Popular
